Altium Designer Pick and Place Locations
C:\Onedrive\04_Development\01_Project\Active\07_STM32H743XIH6_SOM_Bd\Proj-STM32H743XIH6_SOM_Bd\Rev_A\01_HW\STM32H743XIH6 SOM Bd\Project Outputs for STM32H743XIH6 SOM Bd\Pick Place\Pick Place for STM32H743XIH6_SOM_Bd.csv

========================================================================================================================
File Design Information:

Date:       29-04-24
Time:       18:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R307","0R/2012/NC","BottomLayer","RES_2012_(0805_INCH)/NC","10.2500","9.7500","180","0R/2012/0.125W/NC"
"R306","0R/2012","TopLayer","RES_2012_(0805_inch)","21.5000","7.0000","90","RES_0R/2012/0.125W"
"ZD600","NUP2105L","TopLayer","SOT_23-3_(DIODES_INCORPORATED)","15.1000","14.1000","0","SOT-23 ESD PROTECTION DEVICES RO"
"X401","S2D32.768KB20F30T(32.768kHz)","TopLayer","OSC_SMD_2.5x2.0_(SCTF)","21.9000","25.9250","0","3.3V ¡¾20ppm CMOS 32.768kHz SMD2520-4P  Oscillators ROHS"
"X400","S2D12.000000B20F30T(12MHz)","TopLayer","OSC_SMD_2.5x2.0_(SCTF)","25.5500","25.9250","0","3.3V~3.3V -40¡É~+85¡É 20mA ¡¾20ppm 12MHz SMD2520-4P  Oscillators ROHS"
"U601","SN65HVD230DR","TopLayer","SOIC-8_R8_(ANALOG_DEV)","22.7800","11.8650","0","IC TRANSCEIVER HALF 1/1 8SOIC"
"U501","CP2102-GMR","TopLayer","QFN-28_(5x5mm)","27.5000","53.9000","270","Transceiver 1Mbps USB 1/1 QFN-28_5x5x05P  USB ICs ROHS"
"U401","AT24C16","TopLayer","TSSOP-8_PW_(TI)","22.7500","16.7700","0","IC EEPROM 16KBIT I2C 1MHZ 8TSSOP"
"U400","STM32H743XIH6","TopLayer","IC_TFBGA-265","28.7682","35.3182","90","ARM¢ç Cortex¢ç-M7 STM32H7 MCU IC 32bit Single-core 480MHz 2MB(2M x 8) Flash 240+25-TFBGA(14x14)"
"U302","MIC5528-3.3YMT-TR","TopLayer","IC_TDFN-6","14.9000","53.6000","0","Linear Voltage Regulator IC Positive Fixed 1 Output 500mA 6-TDFN (1.2x1.2)"
"U301","AMS1117-3.3","TopLayer","SOT_223-3_(DIODES_INCORPORATED)","13.6750","6.7750","180","72dB@(120Hz) 1A 1.3V@(800mA) Fixed 3.3V~3.3V Positive 1 SOT-223  Linear Voltage Regulators (LDO) ROHS"
"U300","LS1205EVD33","TopLayer","IC_DFN_3x3_10L","15.5000","59.2000","0","18V, 5A eFuse with Programmable Current Limit and Output Voltage Clamp, 10-DFN (3x3)"
"SW401","TS-1088-AR02016","TopLayer","SW_TS-1088-AR02016","38.3000","4.5500","180","NO 50mA 100M¥Ø 100000 Times 12V 160gf@¡¾50gf Brick nogging SPST SMD  Tactile Switches ROHS"
"SW400","TS-1088-AR02016","TopLayer","SW_TS-1088-AR02016","27.3000","4.5500","180","NO 50mA 100M¥Ø 100000 Times 12V 160gf@¡¾50gf Brick nogging SPST SMD  Tactile Switches ROHS"
"SB302","SB","BottomLayer","SB_(Solder-Bridge)","19.7500","65.8840","0","SB_Solder-Bridge"
"SB301","SB","BottomLayer","SB_(Solder-Bridge)","9.1000","60.6000","0","SB_Solder-Bridge"
"SB300","SB","BottomLayer","SB_(Solder-Bridge)","9.1000","58.7500","0","SB_Solder-Bridge"
"R703","4.7K/1005","BottomLayer","RES_1005_(0402_inch)","16.6000","25.3000","180","RES_4.7K/1005/62.5mW"
"R702","4.7K/1005","BottomLayer","RES_1005_(0402_inch)","18.8600","26.5000","0","RES_4.7K/1005/62.5mW"
"R701","4.7K/1005","BottomLayer","RES_1005_(0402_inch)","16.6000","26.5000","180","RES_4.7K/1005/62.5mW"
"R700","4.7K/1005","BottomLayer","RES_1005_(0402_inch)","18.8600","25.3000","0","RES_4.7K/1005/62.5mW"
"R615","1M/1005","BottomLayer","RES_1005_(0402_inch)","39.7600","24.1000","0","RES_1M/1005/62.5mW"
"R614","0R/1005","BottomLayer","RES_1005_(0402_inch)","31.9682","29.9000","270","RES_0R/1005/62.5mW"
"R613","0R/1005","BottomLayer","RES_1005_(0402_inch)","33.2000","29.9000","270","RES_0R/1005/62.5mW"
"R612","0R/1005/NC","BottomLayer","RES_1005_(0402_inch)/NC","37.8000","36.1000","180","RES_0R/1005/62.5mW/NC"
"R611","0R/1005/NC","BottomLayer","RES_1005_(0402_inch)/NC","37.8000","38.5000","180","RES_0R/1005/62.5mW/NC"
"R610","10K/1005","BottomLayer","RES_1005_(0402_inch)","41.6000","14.2000","0","RES_10K/1005/62.5mW"
"R609","10K/1005","BottomLayer","RES_1005_(0402_inch)","41.6000","16.3000","0","RES_10K/1005/62.5mW"
"R608","10K/1005","BottomLayer","RES_1005_(0402_inch)","41.6000","12.1000","0","RES_10K/1005/62.5mW"
"R607","10K/1005","BottomLayer","RES_1005_(0402_inch)","41.6000","10.8000","0","RES_10K/1005/62.5mW"
"R606","10K/1005","BottomLayer","RES_1005_(0402_inch)","41.6000","18.9000","0","RES_10K/1005/62.5mW"
"R605","10K/1005","BottomLayer","RES_1005_(0402_inch)","41.6000","17.6000","0","RES_10K/1005/62.5mW"
"R604","0R/1005","BottomLayer","RES_1005_(0402_inch)","31.9000","26.1000","180","RES_0R/1005/62.5mW"
"R603","0R/1005","BottomLayer","RES_1005_(0402_inch)","29.5600","26.1000","0","RES_0R/1005/62.5mW"
"R602","0R/1005/NC","BottomLayer","RES_1005_(0402_inch)/NC","37.8000","37.3000","180","RES_0R/1005/62.5mW/NC"
"R601","10K/1005","TopLayer","RES_1005_(0402_inch)","28.2100","13.7700","180","RES_10K/1005/62.5mW"
"R600","120R/1005","TopLayer","RES_1005_(0402_inch)","17.5000","14.0000","90","RES_120R/1005/62.5mW"
